feature,importance
sharpness_relative,0.1078943252696567
relative_noise,0.10051898202488158
laplacian_variance,0.08870272408623125
noise_estimate,0.08495488484026742
bright_pixel_ratio,0.07191539356155643
edge_texture_ratio,0.057483267681565066
contrast_percentile_range,0.04764511214271081
edge_density,0.04071263325415234
low_saturation_ratio,0.03798501934032533
saturation_mean,0.03183269640990719
saturation_normalized,0.03175081063203584
entropy,0.03029096895216748
contrast_std,0.028558509363577678
brightness_std,0.028324592869323175
brightness_normalized,0.022580995310292562
brightness_mean,0.021903218696638686
green_mean,0.021777424437172704
dark_bright_balance,0.02116961761463917
red_mean,0.02043720867892264
green_red_difference,0.018357083022373096
saturation_std,0.01786991665777283
blue_mean,0.017536119749606532
blue_red_difference,0.013786228025525744
colour_spread,0.012873554984295116
relative_contrast,0.011618364728360343
dark_pixel_ratio,0.011520347666042197
